"","x"
"Albury",3
"Ballina",3
"Balranald",2
"Bathurst Regional",3
"Bega Valley",3
"Bellingen",4
"Berrigan",4
"Blacktown",3
"Bland",4
"Blayney",4
"Blue Mountains",3
"Bogan",1
"Bourke",1
"Brewarrina",2
"Broken Hill",3
"Burwood",3
"Byron",3
"Cabonne",4
"Camden",3
"Campbelltown",3
"Canada Bay",3
"Carrathool",1
"Central Coast",3
"Central Darling",2
"Cessnock",3
"Clarence Valley",3
"Cobar",5
"Coffs Harbour",3
"Coolamon",5
"Coonamble",5
"Cowra",4
"Dungog",4
"Eurobodalla",3
"Fairfield",3
"Forbes",4
"Gilgandra",5
"Glen Innes Severn",4
"Goulburn Mulwaree",3
"Greater Hume Shire",4
"Griffith",3
"Gunnedah",4
"Gwydir",5
"Hawkesbury",3
"Hay",1
"Hornsby",3
"Hunters Hill",3
"Inverell",3
"Junee",4
"Kempsey",3
"Kiama",3
"Ku-ring-gai",3
"Kyogle",4
"Lachlan",4
"Lake Macquarie",3
"Lane Cove",3
"Leeton",4
"Lismore",3
"Lithgow",3
"Liverpool",3
"Liverpool Plains",4
"Lockhart",1
"Maitland",3
"Mid-Western Regional",3
"Moree Plains",4
"Mosman",3
"Murrumbidgee",5
"Muswellbrook",3
"Nambucca",3
"Narrabri",4
"Narrandera",4
"Narromine",4
"Newcastle",3
"North Sydney",3
"Oberon",5
"Orange",3
"Parkes",4
"Parramatta",3
"Penrith",3
"Port Macquarie-Hastings",3
"Port Stephens",3
"Randwick",3
"Richmond Valley",3
"Ryde",3
"Shellharbour",3
"Shoalhaven",3
"Singleton",3
"Strathfield",3
"Sutherland Shire",3
"Tamworth Regional",3
"Temora",4
"Tenterfield",4
"The Hills Shire",3
"Tweed",3
"Upper Hunter Shire",4
"Upper Lachlan Shire",4
"Uralla",4
"Wagga Wagga",3
"Walcha",1
"Walgett",4
"Warren",1
"Warrumbungle Shire",4
"Waverley",3
"Weddin",5
"Wentworth",4
"Willoughby",3
"Wingecarribee",3
"Wollondilly",3
"Wollongong",3
"Woollahra",3
"Yass Valley",4
