"","x"
"albury",1
"ballina",1
"balranald",4
"bathurst regional",1
"bega valley",5
"bellingen",2
"berrigan",4
"blacktown",3
"bland",4
"blayney",2
"blue mountains",3
"bogan",4
"bourke",4
"brewarrina",4
"burwood",3
"byron",5
"cabonne",2
"camden",3
"campbelltown",3
"canada bay",3
"central coast",3
"central darling",4
"cessnock",3
"clarence valley",3
"cobar",4
"coffs harbour",3
"coolamon",4
"coonamble",4
"cowra",2
"dungog",5
"eurobodalla",5
"fairfield",3
"forbes",2
"gilgandra",4
"goulburn mulwaree",1
"griffith",5
"gunnedah",2
"gwydir",4
"hawkesbury",3
"hay",4
"hornsby",3
"hunters hill",3
"inverell",2
"junee",2
"kempsey",5
"kiama",3
"ku-ring-gai",3
"kyogle",2
"lachlan",4
"lake macquarie",3
"lane cove",3
"leeton",4
"lismore",1
"lithgow",1
"liverpool",3
"liverpool plains",2
"lockhart",4
"maitland",3
"mid-western regional",5
"moree plains",4
"mosman",3
"murrumbidgee",4
"muswellbrook",5
"nambucca",5
"narrabri",2
"narrandera",4
"narromine",2
"newcastle",3
"north sydney",3
"oberon",4
"orange",1
"parkes",2
"parramatta",3
"penrith",3
"port macquarie-hastings",3
"port stephens",3
"randwick",3
"richmond valley",2
"ryde",3
"shellharbour",3
"shoalhaven",3
"singleton",1
"strathfield",3
"sutherland shire",3
"sydney",3
"tamworth regional",1
"temora",4
"tenterfield",4
"the hills shire",3
"tweed",3
"upper lachlan shire",2
"uralla",4
"wagga wagga",1
"walcha",4
"walgett",4
"warren",4
"waverley",3
"weddin",4
"wentworth",4
"willoughby",3
"wingecarribee",3
"wollondilly",3
"wollongong",3
"woollahra",3
"yass valley",2
