"LGA","Crime_p_Cap","Crime_Count","Pop_Density","Socio_Eco_Ind","LGA_Pop"
"Albury",62.1198343,6233,170.5,964,52171
"Ballina",62.0626759,2690,88.7,986,42993
"Balranald",62.0826,192,0.1,969,2330
"Bathurst Regional",62.0955944,4027,11.1,994,42244
"Bega Valley",62.0625378,2119,5.4,974,33941
"Bellingen",62.0617136,798,8.1,957,12951
"Berrigan",62.0560661,482,4.2,965,8609
"Blacktown",62.1325791,45643,1449.8,995,348030
"Bland",62.0653495,393,0.7,997,6024
"Blayney",62.0568873,417,4.8,1009,7343
"Blue Mountains",62.0619526,4872,55.1,1030,78835
"Bogan",62.1223345,337,0.2,960,2764
"Bourke",62.5885549,1595,0.1,924,2762
"Brewarrina",62.2592235,439,0.1,793,1710
"Broken Hill",62.1276448,2304,106.5,917,18114
"Burwood",62.0865384,3320,5406.2,956,38536
"Byron",62.1200211,3996,59,967,33399
"Cabonne",62.0396679,538,2.3,1027,13577
"Camden",62.0503916,4039,399.3,1094,80264
"Campbelltown",62.1587836,25367,518,990,161566
"Campbelltown",62.1587836,25367,518,969,161566
"Canada Bay",62.0557669,5140,4644.5,1030,92534
"Carrathool",62.0879437,245,0.1,984,2793
"Central Coast",62.0968203,32475,200.2,969,336611
"Central Darling",62.3337336,621,0,843,1881
"Cessnock",62.1060224,5997,28.9,972,56720
"Clarence Valley",62.0957092,4929,5,945,51622
"Cobar",62.1640893,780,0.1,971,4775
"Coffs Harbour",62.0996382,7422,63.6,960,74670
"Coolamon",62.0591043,259,1.8,1000,4390
"Coonamble",62.2396239,964,0.4,916,4051
"Cowra",62.1166862,1472,4.5,950,12659
"Dungog",62.0513884,467,4,1020,9101
"Eurobodalla",62.0860196,3255,11.1,962,37919
"Fairfield",62.080329,16470,2026.2,938,205675
"Forbes",62.1173422,1148,2.1,960,9817
"Gilgandra",62.1215757,521,0.9,946,4298
"Glen Innes Severn",62.1397788,1243,1.6,943,8934
"Goulburn Mulwaree",62.0765701,2313,9.4,971,30261
"Greater Hume Shire",62.0399736,420,1.8,1010,10519
"Griffith",62.1177367,3093,16.1,977,26356
"Gunnedah",62.0931351,1160,2.5,968,12491
"Gwydir",62.0626435,333,0.6,968,5326
"Hawkesbury",62.079605,5270,23.9,1046,66346
"Hay",62.2240648,663,0.3,945,2984
"Hornsby",62.0532428,7804,323.9,1083,147385
"Hunters Hill",62.0342198,501,2563.6,1078,14656
"Inverell",62.1025403,1719,2,947,16812
"Junee",62.0889332,569,3.2,974,6414
"Kempsey",62.1239305,3635,8.7,924,29431
"Kiama",62.0497224,1097,85.8,1046,22110
"Ku-ring-gai",62.0230899,2825,1433.9,1128,122472
"Kyogle",62.0751935,684,2.5,937,9114
"Lachlan",62.1346884,853,0.4,959,6356
"Lake Macquarie",62.0865349,17452,311.9,1003,202332
"Lane Cove",62.0249878,941,3597,1071,37694
"Leeton",62.0987857,1124,9.8,976,11407
