"","x"
"Albury",1
"Ballina",1
"Balranald",2
"Bathurst Regional",1
"Bega Valley",1
"Bellingen",3
"Berrigan",3
"Blacktown",1
"Bland",4
"Blayney",4
"Blue Mountains",1
"Bogan",2
"Bourke",2
"Brewarrina",2
"Broken Hill",1
"Burwood",5
"Byron",1
"Cabonne",3
"Camden",1
"Campbelltown",1
"Canada Bay",1
"Carrathool",2
"Central Coast",1
"Central Darling",2
"Cessnock",1
"Clarence Valley",1
"Cobar",4
"Coffs Harbour",1
"Coolamon",4
"Coonamble",4
"Cowra",3
"Dungog",3
"Eurobodalla",1
"Fairfield",1
"Forbes",3
"Gilgandra",4
"Glen Innes Severn",3
"Goulburn Mulwaree",1
"Greater Hume Shire",3
"Griffith",1
"Gunnedah",3
"Gwydir",4
"Hawkesbury",1
"Hay",2
"Hornsby",1
"Hunters Hill",5
"Inverell",3
"Junee",4
"Kempsey",1
"Kiama",1
"Ku-ring-gai",1
"Kyogle",3
"Lachlan",4
"Lake Macquarie",1
"Lane Cove",5
"Leeton",3
"Lismore",1
"Lithgow",1
"Liverpool",1
"Liverpool Plains",3
"Lockhart",2
"Maitland",1
"Mid-Western Regional",1
"Moree Plains",3
"Mosman",5
"Murrumbidgee",4
"Muswellbrook",3
"Nambucca",1
"Narrabri",3
"Narrandera",4
"Narromine",4
"Newcastle",1
"North Sydney",5
"Oberon",4
"Orange",1
"Parkes",3
"Parramatta",1
"Penrith",1
"Port Macquarie-Hastings",1
"Port Stephens",1
"Randwick",1
"Richmond Valley",1
"Ryde",1
"Shellharbour",1
"Shoalhaven",1
"Singleton",1
"Strathfield",5
"Sutherland Shire",1
"Tamworth Regional",1
"Temora",4
"Tenterfield",4
"The Hills Shire",1
"Tweed",1
"Upper Hunter Shire",3
"Upper Lachlan Shire",3
"Uralla",4
"Wagga Wagga",1
"Walcha",2
"Walgett",4
"Warren",2
"Warrumbungle Shire",3
"Waverley",5
"Weddin",4
"Wentworth",4
"Willoughby",1
"Wingecarribee",1
"Wollondilly",1
"Wollongong",1
"Woollahra",5
"Yass Valley",3
